Index,Scene,Trajectory Name,File Path,Num Waypoints,X Start,X End,X Change,X Range,Y Start,Y End,Y Change,Y Range,Z Start,Z End,Z Change,Z Range,Euclidean Distance,Path Length,Requires Chassis,Chassis Movement Score
22,unknown,orbit_left_050,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_050.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8623,0.9423,1.0000,0.8600,0.8696,0.0096,0.1877,3.1445,4.1572,True,3.1445
23,unknown,arc_left_push_086,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_086.json,120,1.0500,4.0500,3.0000,3.2768,0.0800,-0.8606,0.9406,1.0033,0.8600,0.9167,0.0567,0.0664,3.1445,4.1843,True,3.1440
24,unknown,arc_left_push_095,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_095.json,120,1.0500,4.0500,3.0000,3.2768,0.0800,-0.8578,0.9378,1.0104,0.8600,0.7096,0.1504,0.1504,3.1468,3.9826,True,3.1432
25,unknown,orbit_left_057,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_057.json,120,1.0500,4.0485,2.9985,3.0000,0.0800,-0.8616,0.9416,0.9899,0.8600,0.8113,0.0487,0.0782,3.1432,3.3670,True,3.1428
26,unknown,orbit_left_083,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_083.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8549,0.9349,0.9694,0.8600,0.9442,0.0842,0.1182,3.1434,3.4797,True,3.1423
27,unknown,arc_left_push_060,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_060.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8529,0.9329,1.0000,0.8600,0.9602,0.1002,0.1401,3.1433,3.5341,True,3.1417
28,unknown,arc_left_push_066,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_066.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8480,0.9280,0.9280,0.8600,0.6619,0.1981,0.2047,3.1465,3.4798,True,3.1402
29,unknown,orbit_right_060,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_060.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,1.0077,0.9277,1.0492,0.8600,0.8659,0.0059,0.0559,3.1402,3.3783,True,3.1402
30,unknown,arc_left_push_007,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_007.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8397,0.9197,1.0000,0.8600,0.8305,0.0295,0.0687,3.1379,3.5088,True,3.1378
31,unknown,arc_left_push_072,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_072.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8342,0.9142,1.0000,0.8600,0.6212,0.2388,0.2389,3.1453,3.4718,True,3.1362
32,unknown,arc_left_push_094,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_094.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8340,0.9140,1.0000,0.8600,0.7858,0.0742,0.0763,3.1370,3.5939,True,3.1361
33,unknown,orbit_right_086,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_086.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.9865,0.9065,1.2062,0.8600,0.9348,0.0748,0.1401,3.1348,3.7764,True,3.1340
34,unknown,arc_left_push_079,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_079.json,120,1.0500,4.0500,3.0000,3.2034,0.0800,-0.8206,0.9006,0.9192,0.8600,0.8577,0.0023,0.0575,3.1323,3.6653,True,3.1323
35,unknown,arc_left_push_009,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_009.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8158,0.8958,0.9025,0.8600,0.7797,0.0803,0.0872,3.1319,3.2743,True,3.1309
36,unknown,arc_left_push_091,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_091.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8153,0.8953,0.8958,0.8600,0.8912,0.0312,0.0853,3.1309,3.4870,True,3.1307
37,unknown,orbit_right_041,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_041.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.9669,0.8869,1.0000,0.8600,0.8021,0.0579,0.1146,3.1289,3.9478,True,3.1284
38,unknown,orbit_left_062,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_062.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8051,0.8851,0.9953,0.8600,0.9577,0.0977,0.1981,3.1294,3.6789,True,3.1279
39,unknown,arc_left_push_070,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_070.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8036,0.8836,0.9358,0.8600,0.9150,0.0550,0.1180,3.1279,3.5099,True,3.1274
40,unknown,arc_left_push_071,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_071.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.8019,0.8819,0.8819,0.8600,0.9267,0.0667,0.0933,3.1276,3.3685,True,3.1269
41,unknown,orbit_right_093,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_093.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.9604,0.8804,1.4642,0.8600,0.8033,0.0567,0.1500,3.1270,4.3208,True,3.1265
42,unknown,orbit_left_071,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_071.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.7888,0.8688,0.8990,0.8600,0.7458,0.1142,0.1475,3.1254,3.3852,True,3.1233
43,unknown,orbit_right_083,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_083.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.9343,0.8543,1.0000,0.8600,0.7861,0.0739,0.1292,3.1201,3.5002,True,3.1193
44,unknown,arc_left_push_089,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_089.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.7613,0.8413,0.8590,0.8600,0.9020,0.0420,0.1301,3.1160,3.3011,True,3.1157
45,unknown,arc_left_push_039,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_039.json,120,1.0500,4.0500,3.0000,3.2768,0.0800,-0.7597,0.8397,0.8397,0.8600,0.9089,0.0489,0.0679,3.1157,4.0745,True,3.1153
46,unknown,orbit_left_004,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_004.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.7565,0.8365,0.8630,0.8600,0.9704,0.1104,0.1673,3.1164,3.4995,True,3.1144
47,unknown,tracking_zigzag_092,trajectoryToLearn\world_json\cinematic_db\tracking_zigzag\tracking_zigzag_092.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.9145,0.8345,1.1366,0.8600,0.9388,0.0788,0.1576,3.1149,3.5081,True,3.1139
48,unknown,arc_left_push_029,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_029.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.7471,0.8271,0.8998,0.8600,0.8575,0.0025,0.0519,3.1119,3.6393,True,3.1119
49,unknown,arc_left_push_074,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_074.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.7411,0.8211,1.0000,0.8600,0.7823,0.0777,0.1095,3.1113,3.5003,True,3.1103
50,unknown,orbit_right_058,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_058.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.8968,0.8168,1.0630,0.8600,0.8595,0.0005,0.2305,3.1092,3.6098,True,3.1092
51,unknown,orbit_right_021,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_021.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.8938,0.8138,1.0974,0.8600,0.9101,0.0501,0.2140,3.1088,3.5436,True,3.1084
52,unknown,arc_left_push_023,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_023.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.7333,0.8133,0.8133,0.8600,0.9344,0.0744,0.0745,3.1092,3.5078,True,3.1083
53,unknown,orbit_left_047,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_047.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.7264,0.8064,1.0000,0.8600,0.8322,0.0278,0.2195,3.1066,3.8451,True,3.1065
54,unknown,orbit_right_070,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_070.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.8813,0.8013,0.8873,0.8600,1.0274,0.1674,0.1674,3.1097,3.6373,True,3.1052
55,unknown,orbit_left_026,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_026.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.7168,0.7968,0.8165,0.8600,0.6227,0.2373,0.2626,3.1131,3.3120,True,3.1040
56,unknown,arc_left_push_078,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_078.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.7143,0.7943,0.7943,0.8600,0.6276,0.2324,0.2324,3.1120,3.3848,True,3.1034
57,unknown,orbit_left_023,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_023.json,120,1.0500,4.0214,2.9714,2.9714,0.0800,-0.8141,0.8941,1.6836,0.8600,0.9133,0.0533,0.1085,3.1035,4.9334,True,3.1030
58,unknown,orbit_right_062,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_062.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.8706,0.7906,0.9926,0.8600,0.9196,0.0596,0.2540,3.1030,3.7374,True,3.1024
59,unknown,orbit_left_001,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_001.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.7103,0.7903,1.0000,0.8600,0.9176,0.0576,0.2256,3.1029,4.3522,True,3.1023
60,unknown,arc_left_push_098,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_098.json,120,1.0500,4.0500,3.0000,3.4576,0.0800,-0.7091,0.7891,0.7924,0.8600,0.8339,0.0261,0.1171,3.1022,4.2665,True,3.1020
61,unknown,arc_left_push_073,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_073.json,120,1.0500,4.0500,3.0000,3.2075,0.0800,-0.7044,0.7844,0.8437,0.8600,0.6392,0.2208,0.2255,3.1087,4.0009,True,3.1008
62,unknown,arc_left_push_025,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_025.json,120,1.0500,3.9842,2.9342,2.9342,0.0800,-0.9200,1.0000,1.0000,0.8600,0.8131,0.0469,0.1001,3.1002,3.2094,True,3.0999
63,unknown,arc_left_push_075,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_075.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.6976,0.7776,0.8437,0.8600,0.9631,0.1031,0.1031,3.1008,3.2757,True,3.0991
64,unknown,orbit_left_000,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_000.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.6958,0.7758,1.0000,0.8600,0.8745,0.0145,0.0782,3.0987,4.2296,True,3.0987
65,unknown,orbit_right_063,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_063.json,120,1.0500,4.0352,2.9852,2.9863,0.0800,0.8991,0.8191,0.9190,0.8600,1.1404,0.2804,0.3278,3.1082,3.3373,True,3.0955
66,unknown,orbit_right_052,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_052.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.8367,0.7567,0.9562,0.8600,0.8824,0.0224,0.1821,3.0940,4.0427,True,3.0940
67,unknown,arc_left_push_081,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_081.json,120,1.0500,3.9764,2.9264,2.9360,0.0800,-0.9146,0.9946,1.0000,0.8600,0.8964,0.0364,0.0586,3.0910,3.2307,True,3.0908
68,unknown,orbit_right_094,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_094.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.8213,0.7413,1.0000,0.8600,0.8105,0.0495,0.1440,3.0906,4.2902,True,3.0902
69,unknown,orbit_left_090,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_090.json,120,1.0500,4.0471,2.9971,2.9971,0.0800,-0.6655,0.7455,1.0000,0.8600,0.7762,0.0838,0.0981,3.0895,3.7953,True,3.0884
70,unknown,orbit_right_002,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_002.json,120,1.0500,3.9993,2.9493,2.9494,0.0800,0.9909,0.9109,1.0000,0.8600,0.8325,0.0275,0.1160,3.0869,4.1193,True,3.0868
71,unknown,orbit_left_010,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_010.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.6456,0.7256,0.7782,0.8600,1.0625,0.2025,0.2473,3.0931,3.3061,True,3.0865
72,unknown,arc_left_push_038,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_038.json,120,1.0500,4.0327,2.9827,2.9827,0.0800,-0.7075,0.7875,0.7875,0.8600,0.8192,0.0408,0.1008,3.0851,3.2207,True,3.0849
73,unknown,orbit_left_099,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_099.json,120,1.0500,3.9868,2.9368,2.9368,0.0800,-0.8638,0.9438,1.3054,0.8600,0.7117,0.1483,0.1758,3.0883,3.7687,True,3.0848
74,unknown,orbit_right_040,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_040.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.7969,0.7169,0.9931,0.8600,0.9010,0.0410,0.2506,3.0847,3.8951,True,3.0845
75,unknown,arc_left_push_022,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_022.json,120,1.0500,3.9663,2.9163,2.9179,0.0800,-0.9200,1.0000,1.0001,0.8600,0.7683,0.0917,0.0917,3.0843,3.2012,True,3.0830
76,unknown,tracking_zigzag_050,trajectoryToLearn\world_json\cinematic_db\tracking_zigzag\tracking_zigzag_050.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.7874,0.7074,0.9622,0.8600,0.9625,0.1025,0.2050,3.0840,3.5883,True,3.0823
77,unknown,arc_left_push_043,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_043.json,120,1.0500,4.0500,3.0000,3.1412,0.0800,-0.6257,0.7057,0.7057,0.8600,0.9458,0.0858,0.0858,3.0831,3.6480,True,3.0819
78,unknown,orbit_right_065,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_065.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.7803,0.7003,0.7698,0.8600,0.8862,0.0262,0.2071,3.0808,3.7783,True,3.0807
79,unknown,orbit_left_065,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_065.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.6174,0.6974,1.0000,0.8600,1.0711,0.2111,0.2111,3.0872,4.2783,True,3.0800
80,unknown,orbit_left_094,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_094.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.6163,0.6963,0.9299,0.8600,1.0071,0.1471,0.1858,3.0833,3.9938,True,3.0798
81,unknown,orbit_left_054,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_054.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.6160,0.6960,1.0000,0.8600,0.8164,0.0436,0.0775,3.0800,4.0224,True,3.0797
82,unknown,orbit_left_002,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_002.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.6065,0.6865,0.8383,0.8600,0.9803,0.1203,0.1691,3.0799,3.4324,True,3.0775
83,unknown,arc_left_push_082,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_082.json,120,1.0500,3.9603,2.9103,2.9132,0.0800,-0.9200,1.0000,1.0000,0.8600,0.7803,0.0797,0.0797,3.0784,3.2600,True,3.0773
84,unknown,arc_left_push_050,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_050.json,120,1.0500,4.0500,3.0000,3.0508,0.0800,-0.6046,0.6846,0.6862,0.8600,0.9518,0.0918,0.0918,3.0785,3.3633,True,3.0771
85,unknown,arc_left_push_069,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_069.json,120,1.0500,4.0500,3.0000,3.1412,0.0800,-0.6022,0.6822,0.6822,0.8600,0.8158,0.0442,0.0835,3.0769,3.5446,True,3.0766
86,unknown,orbit_left_043,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_043.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.5982,0.6782,1.0000,0.8600,0.9673,0.1073,0.1516,3.0776,4.4178,True,3.0757
87,unknown,arc_left_push_093,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_093.json,120,1.0500,4.0500,3.0000,3.2957,0.0800,-0.5952,0.6752,0.6838,0.8600,0.8991,0.0391,0.1150,3.0753,3.8544,True,3.0750
88,unknown,arc_left_push_051,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_051.json,120,1.0500,4.0500,3.0000,3.2768,0.0800,-0.5834,0.6634,0.6771,0.8600,0.8482,0.0118,0.0595,3.0725,3.7124,True,3.0725
89,unknown,arc_left_push_057,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_057.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.5701,0.6501,0.7580,0.8600,0.8898,0.0298,0.0501,3.0698,3.2968,True,3.0696
90,unknown,orbit_right_087,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_087.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.7261,0.6461,1.0000,0.8600,1.0662,0.2062,0.2199,3.0757,4.3687,True,3.0688
91,unknown,tracking_zigzag_067,trajectoryToLearn\world_json\cinematic_db\tracking_zigzag\tracking_zigzag_067.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.7241,0.6441,1.0323,0.8600,0.9891,0.1291,0.2581,3.0711,3.5345,True,3.0684
92,unknown,arc_left_push_065,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_065.json,120,1.0500,4.0500,3.0000,3.1412,0.0800,-0.5637,0.6437,0.6691,0.8600,0.7684,0.0916,0.1280,3.0696,3.8158,True,3.0683
93,unknown,tracking_zigzag_064,trajectoryToLearn\world_json\cinematic_db\tracking_zigzag\tracking_zigzag_064.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.7207,0.6407,0.8820,0.8600,0.9587,0.0987,0.1973,3.0692,3.4970,True,3.0677
94,unknown,tracking_zigzag_096,trajectoryToLearn\world_json\cinematic_db\tracking_zigzag\tracking_zigzag_096.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.7194,0.6394,1.0398,0.8600,1.0126,0.1526,0.3052,3.0712,3.6604,True,3.0674
95,unknown,arc_left_push_030,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_030.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.5582,0.6382,0.6382,0.8600,0.7858,0.0742,0.0837,3.0680,3.2764,True,3.0671
96,unknown,tracking_zigzag_042,trajectoryToLearn\world_json\cinematic_db\tracking_zigzag\tracking_zigzag_042.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.7039,0.6239,0.8474,0.8600,0.9459,0.0859,0.1718,3.0654,3.3138,True,3.0642
97,unknown,arc_left_push_083,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_083.json,120,1.0500,4.0500,3.0000,3.2768,0.0800,-0.5329,0.6129,0.6271,0.8600,0.9213,0.0613,0.0930,3.0626,3.7523,True,3.0620
98,unknown,orbit_right_004,trajectoryToLearn\world_json\cinematic_db\orbit_right\orbit_right_004.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.6903,0.6103,1.0000,0.8600,0.9987,0.1387,0.2576,3.0646,4.3718,True,3.0615
99,unknown,orbit_left_025,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_025.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.5269,0.6069,0.7374,0.8600,0.8253,0.0347,0.0816,3.0610,3.4934,True,3.0608
100,unknown,tracking_zigzag_022,trajectoryToLearn\world_json\cinematic_db\tracking_zigzag\tracking_zigzag_022.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,0.6843,0.6043,0.9188,0.8600,1.0054,0.1454,0.2907,3.0637,3.6515,True,3.0603
101,unknown,orbit_left_059,trajectoryToLearn\world_json\cinematic_db\orbit_left\orbit_left_059.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.5130,0.5930,0.5930,0.8600,0.9111,0.0511,0.1779,3.0585,3.1784,True,3.0580
102,unknown,arc_left_push_036,trajectoryToLearn\world_json\cinematic_db\arc_left_push\arc_left_push_036.json,120,1.0500,4.0500,3.0000,3.0000,0.0800,-0.5120,0.5920,0.6088,0.8600,0.6586,0.2014,0.2097,3.0645,3.3251,True,3.0578
